"date","ville","pays","no2","o3","pm25","temp_max","temp_min","temp_moy","amplitude","humidite"
2023-09-01,"Helsinki","Finlande",9.57,56.77,3.31,18,14,16,4,97
2023-09-02,"Helsinki","Finlande",6.34,49.73,3.83,16,12,14,4,91
2023-09-03,"Helsinki","Finlande",3.57,57.92,3.44,19,12,15.5,7,92
2023-09-04,"Helsinki","Finlande",5.21,55.62,3.42,19,12,15.5,7,88
2023-09-05,"Helsinki","Finlande",4.33,56.57,5.13,20,12,16,8,93
2023-09-06,"Helsinki","Finlande",4.57,43.16,3.35,17,10,13.5,7,83
2023-09-07,"Helsinki","Finlande",5.5,47.21,3.7,18,9,13.5,9,87
2023-09-08,"Helsinki","Finlande",9.84,44.11,5.63,20,13,16.5,7,94
2023-09-09,"Helsinki","Finlande",8.21,43.24,4.2,19,15,17,4,94
2023-09-10,"Helsinki","Finlande",6.18,57.74,9.1,20,15,17.5,5,93
2023-09-11,"Helsinki","Finlande",10.35,70,11.74,20,15,17.5,5,94
2023-09-12,"Helsinki","Finlande",11.19,75.03,13.69,21,15,18,6,93
2023-09-13,"Helsinki","Finlande",12.48,56.1,8.53,18,13,15.5,5,97
2023-09-14,"Helsinki","Finlande",7.51,34.12,2.69,14,10,12,4,92
2023-09-15,"Helsinki","Finlande",9.6,40.53,3.84,15,8,11.5,7,86
2023-09-16,"Helsinki","Finlande",2.58,64.49,2.69,16,12,14,4,84
2023-09-17,"Helsinki","Finlande",3.85,52.37,3.3,16,8,12,8,83
2023-09-18,"Helsinki","Finlande",10.51,40.49,2.21,13,7,10,6,89
2023-09-19,"Helsinki","Finlande",7.13,48.22,6.49,19,11,15,8,89
2023-09-20,"Helsinki","Finlande",4.44,62.43,3.86,16,13,14.5,3,87
2023-09-21,"Helsinki","Finlande",8.82,53.75,5.76,18,15,16.5,3,97
2023-09-22,"Helsinki","Finlande",8.1,59.69,8.65,20,15,17.5,5,89
2023-09-23,"Helsinki","Finlande",6.69,67.71,5.8,18,12,15,6,97
